Jackson Hole,Teton Village,WY,7.834
Mammoth Mountain Ski Area,Mammoth,CA,5.096000000000001
Jay Peak,Jay Peak,VT,1.8780000000000001
Kirkwood,Kirkwood,CA,9.891
Sun Valley,Sun Valley,ID,3.618
Vail,Vail,CO,5.538
Sugarbush,Sugarbush,VT,1.979
Brighton Resort,Brighton,UT,14.018
Grand Targhee Resort,Grand Targhee,WY,11.703000000000001
Stowe,Stowe,VT,1.581
Mountain Creek,Vernon,NJ,1.6869999999999998
